"","generic","english","brandname","class_indication","searchterm"
"772","natriumglyserofosfaatti","sodium glycerophosphate","Glycophos|Glycophos",NA,"natriumglyserofosfaatti|sodium glycerophosphate|glycophos|glycophos"
"773","natriumoksibaatti","sodium oxybate","Xyrem|Natriumoksibaatti Kalceks|Natriumoxibat Reig Jofre",NA,"natriumoksibaatti|sodium oxybate|xyrem|natriumoksibaatti kalceks|natriumoxibat reig jofre"
"774","natriumpikosulfaatti","sodium picosulfate","Laxoberon|Laxoberon",NA,"natriumpikosulfaatti|sodium picosulfate|laxoberon|laxoberon"
"775","natriumpikosulfaatti, yhdistelmävalmisteet","sodium picosulphate, combined preparations","Picoprep|Picoprep",NA,"natriumpikosulfaatti, yhdistelmävalmisteet|sodium picosulphate, combined preparations|picoprep|picoprep"
"776","solifenasiini","solifenacin","Vesicare|Vesicare|Solifenacin Accord|Solifenacin Sandoz|Solifenacin Mylan|Solifenacin Mylan|Solifenacin Orion|Solifenacin Sandoz|Solifenacin Orion|Solifenacin Krka|Solifenacin Krka|Solifenacin Ratiopharm|Solifenacin Sandoz|Solifenacin Accord|Solifenacin Stada|Solifenacin Ratiopharm|Solifenacin Ratiopharm|Solifenacin Stada|Solifenacin Krka|Solifenacin Stada|Solifenacin Accord|Vesicare|Vesicare|Solifenacin Mylan|Solifenacin Orion|Solifenacin Ratiopharm|Solifenacin Orion|Solifenacin Sandoz|Solifenacin Ratiopharm|Solifenacin Sandoz|Solifenacin Krka|Solifenacin Stada|Solifenacin Accord|Solifenacin Mylan|Solifenacin Stada|Solifenacin Krka|Solifenacin Accord|Solifenacin Krka|Solifenacin Stada|Solifenacin Sandoz|Solifenacin Ratiopharm|Solifenacin Accord",NA,"solifenasiini|solifenacin|vesicare|vesicare|solifenacin accord|solifenacin sandoz|solifenacin mylan|solifenacin mylan|solifenacin orion|solifenacin sandoz|solifenacin orion|solifenacin krka|solifenacin krka|solifenacin ratiopharm|solifenacin sandoz|solifenacin accord|solifenacin stada|solifenacin ratiopharm|solifenacin ratiopharm|solifenacin stada|solifenacin krka|solifenacin stada|solifenacin accord|vesicare|vesicare|solifenacin mylan|solifenacin orion|solifenacin ratiopharm|solifenacin orion|solifenacin sandoz|solifenacin ratiopharm|solifenacin sandoz|solifenacin krka|solifenacin stada|solifenacin accord|solifenacin mylan|solifenacin stada|solifenacin krka|solifenacin accord|solifenacin krka|solifenacin stada|solifenacin sandoz|solifenacin ratiopharm|solifenacin accord"
"777",NA,"Solifenacin","VESIcare",NA,"solifenacin|vesicare"
"778","Liuottimet ja laimentimet, sis. huuhteluliuokset","Solvents and diluents, including rinsing solutions","Natriumklorid Fresenius Kabi|Natriumklorid Braun|Natriumklorid Braun|Natriumklorid Braun|Natriumklorid Braun|Natriumklorid Fresenius Kabi|Natriumklorid Fresenius Kabi|Natriumklorid Fresenius Kabi|Natriumklorid Fresenius Kabi|Natriumklorid Fresenius Kabi",NA,"liuottimet ja laimentimet, sis. huuhteluliuokset|solvents and diluents, including rinsing solutions|natriumklorid fresenius kabi|natriumklorid braun|natriumklorid braun|natriumklorid braun|natriumklorid braun|natriumklorid fresenius kabi|natriumklorid fresenius kabi|natriumklorid fresenius kabi|natriumklorid fresenius kabi|natriumklorid fresenius kabi"
"779","somatropiini","somatropin","Omnitrope|Omnitrope|Omnitrope|Omnitrope|Omnitrope|Nutropinaq|Nutropinaq|Nutropinaq|Nutropinaq|Omnitrope|Omnitrope|Omnitrope|Omnitrope|Omnitrope|Omnitrope|Omnitrope|Saizen|Saizen|Saizen|Saizen",NA,"somatropiini|somatropin|omnitrope|omnitrope|omnitrope|omnitrope|omnitrope|nutropinaq|nutropinaq|nutropinaq|nutropinaq|omnitrope|omnitrope|omnitrope|omnitrope|omnitrope|omnitrope|omnitrope|saizen|saizen|saizen|saizen"
"780","sorafenibi","sorafenib","Nexavar|Sorafenib Mylan|Nexavar|Nexavar|Nexavar|Sorafenib Stada",NA,"sorafenibi|sorafenib|nexavar|sorafenib mylan|nexavar|nexavar|nexavar|sorafenib stada"
"781",NA,"Risedronate","Actonel","Osteoporosis","risedronate|actonel"
"782","parasetamoli","paracetamol","Panadol Zapp|Paracetamol-Ratiopharm|Paracetamol-Ratiopharm|Pamol F|Pamol|Pamol|Paramax Rap|Paramax Rap|Paramax Rap|Panadol Zapp|Para-Tabs|Para-Tabs|Paracetamol-Ratiopharm|Pamol|Paracetamol KRKA|Paramax Rap|Panadol|Paracetamol-Ratiopharm|Panadol|Panadol|Paramax Rap|Para-Tabs|Para-Tabs|Panadol Pore|Panadol Pore|Paracetamol Accord|Paracetamol Accord|Paracetamol Accord|Panadol Pore|Pamol F|Paramax Junior|Paracetamol Ratiopharm|Paramax Forte|Paramax Forte|Paramax Forte|Paracetamol Ratiopharm|Paramax Forte|Paracetamol KRKA|Paramax Forte|Para-Tabs|Para-Tabs|Para-Tabs|Panadol Forte|Pamol|Panadol Forte|Paracetamol KRKA|Paracetamol Ratiopharm|Paracetamol Ratiopharm|Pinex|Panadol|Panadol|Para-Hot|Panadol Hot|Panadol Hot|Paracetamol B. Braun|Paracetamol Panpharma|Paracetamol B. Braun|Paracetamol B. Braun|Paracetamol Fresenius Kabi|Paracetamol Fresenius Kabi","Paracetamol","parasetamoli|paracetamol|panadol zapp|paracetamol-ratiopharm|paracetamol-ratiopharm|pamol f|pamol|pamol|paramax rap|paramax rap|paramax rap|panadol zapp|para-tabs|para-tabs|paracetamol-ratiopharm|pamol|paracetamol krka|paramax rap|panadol|paracetamol-ratiopharm|panadol|panadol|paramax rap|para-tabs|para-tabs|panadol pore|panadol pore|paracetamol accord|paracetamol accord|paracetamol accord|panadol pore|pamol f|paramax junior|paracetamol ratiopharm|paramax forte|paramax forte|paramax forte|paracetamol ratiopharm|paramax forte|paracetamol krka|paramax forte|para-tabs|para-tabs|para-tabs|panadol forte|pamol|panadol forte|paracetamol krka|paracetamol ratiopharm|paracetamol ratiopharm|pinex|panadol|panadol|para-hot|panadol hot|panadol hot|paracetamol b. braun|paracetamol panpharma|paracetamol b. braun|paracetamol b. braun|paracetamol fresenius kabi|paracetamol fresenius kabi"
"783",NA,"paracetamol","panadol","Paracetamol","paracetamol|panadol"
"784","parasetamoli, yhdistelmävalmisteet","paracetamol, combination products","Paramax Comp","Paracetamol","parasetamoli, yhdistelmävalmisteet|paracetamol, combination products|paramax comp"
"785",NA,"Stella","Stilnoct",NA,"stella|stilnoct"
"786","stiripentoli","stiripentols","Diacomit|Diacomit|Diacomit",NA,"stiripentoli|stiripentols|diacomit|diacomit|diacomit"
"787","sufentaniili","sufentanil","Sufenta|Sufentanil Hameln|Sufentanil Hameln",NA,"sufentaniili|sufentanil|sufenta|sufentanil hameln|sufentanil hameln"
"788","sugammadeksi","sugammadex","Bridion|Bridion",NA,"sugammadeksi|sugammadex|bridion|bridion"
"789","amoksisilliini","Amoxicillin","Amorion|Amoxin|Amoxin|Amorion|Amorion|Amoxin|Amorion|Amorion|Amoxin|Amorion|Amorion|Amorion|Amoxin|Amoxicillin Mip Pharma|Amoxin|Amoxin|Amorion|Amorion|Amoxicillin Mylan|Amoxin|Amoxin","penicillin","amoksisilliini|amoxicillin|amorion|amoxin|amoxin|amorion|amorion|amoxin|amorion|amorion|amoxin|amorion|amorion|amorion|amoxin|amoxicillin mip pharma|amoxin|amoxin|amorion|amorion|amoxicillin mylan|amoxin|amoxin"
"790","amoksisilliini ja beetalaktamaasin estäjä","Amoxicillin","Amoxin Comp|Amoxin Comp|Betaklav|Amorion Comp|Bioclavid|Amorion Comp|Betaklav|Amoxin Comp|Amorion Comp|Amorion Comp|Bioclavid|Bioclavid|Amoxin Comp|Amoxin Comp|Betaklav|Amorion Comp|Amorion Comp|Augmentin|Betaklav","penicillin","amoksisilliini ja beetalaktamaasin estäjä|amoxicillin|amoxin comp|amoxin comp|betaklav|amorion comp|bioclavid|amorion comp|betaklav|amoxin comp|amorion comp|amorion comp|bioclavid|bioclavid|amoxin comp|amoxin comp|betaklav|amorion comp|amorion comp|augmentin|betaklav"
"791","rikkiheksafluoridi","sulfur hexafluoride","Sonovue|Sonovue|Sonovue",NA,"rikkiheksafluoridi|sulfur hexafluoride|sonovue|sonovue|sonovue"
"792","sumatriptaani","sumatriptan","Imigran Radis|Imigran Radis|Imigran Radis|Sumatriptan Sandoz|Sumatriptan Accord|Sumatriptan Teva|Sumatriptan Teva|Sumatriptan Teva|Oriptan|Oriptan|Oriptan|Sumatriptan Teva|Sumatriptan Accord|Sumatriptan Sandoz|Sumatriptan Accord|Sumatriptan Sandoz|Imigran Radis|Imigran Radis|Imigran Radis|Sumatriptan Teva|Sumatriptan Teva|Sumatriptan Accord|Oriptan|Oriptan|Oriptan|Sumatriptan Teva|Sumatriptan Accord|Sumatriptan Sandoz|Sumatriptan Sandoz|Sumatriptan Sandoz",NA,"sumatriptaani|sumatriptan|imigran radis|imigran radis|imigran radis|sumatriptan sandoz|sumatriptan accord|sumatriptan teva|sumatriptan teva|sumatriptan teva|oriptan|oriptan|oriptan|sumatriptan teva|sumatriptan accord|sumatriptan sandoz|sumatriptan accord|sumatriptan sandoz|imigran radis|imigran radis|imigran radis|sumatriptan teva|sumatriptan teva|sumatriptan accord|oriptan|oriptan|oriptan|sumatriptan teva|sumatriptan accord|sumatriptan sandoz|sumatriptan sandoz|sumatriptan sandoz"
"793",NA,"Sumatriptan","Imitrex",NA,"sumatriptan|imitrex"
"794","sunitinibi","sunitinib","Sutent|Sutent|Sutent|Sutent|Sutent|Sutent",NA,"sunitinibi|sunitinib|sutent|sutent|sutent|sutent|sutent|sutent"
"795","suksametoni","suxamethonium","Suxamethonium Ethypharm|Sukolin",NA,"suksametoni|suxamethonium|suxamethonium ethypharm|sukolin"
"796","takrolimuusi","tacrolimus","Protopic|Protopic|Tacrolimus Accord|Protopic|Protopic|Tacrolimus Accord|Tacrolimus Accord|Protopic|Advagraf|Advagraf|Advagraf|Advagraf|Advagraf|Advagraf|Advagraf|Advagraf|Advagraf|Advagraf|Advagraf|Advagraf|Prograf|Prograf",NA,"takrolimuusi|tacrolimus|protopic|protopic|tacrolimus accord|protopic|protopic|tacrolimus accord|tacrolimus accord|protopic|advagraf|advagraf|advagraf|advagraf|advagraf|advagraf|advagraf|advagraf|advagraf|advagraf|advagraf|advagraf|prograf|prograf"
"797","tadalafiili","tadalafil","Cialis|Cialis|Cialis|Tadalafil Krka|Tadalafil Ratiopharm|Adcirca|Tadalafil Mylan|Tadalafil Krka|Tadalafil Ratiopharm|Tadalafil Mylan|Tadalafil Krka|Tadalafil Krka|Tadalafil Accord|Tadalafil Accord|Tadalafil Mylan|Tadalafil Sandoz|Tadalafil Mylan|Tadalafil Mylan|Tadalafil Orion|Tadalafil Accord|Tadalafil Sandoz|Tadalafil Orion|Tadalafil Accord|Tadalafil Sandoz|Tadalafil Ratiopharm|Tadalafil Stada|Tadalafil Stada|Tadalafil Mylan|Tadalafil Orion|Tadalafil Stada|Tadalafil Aop|Cialis|Tadalafil Ratiopharm|Tadalafil Sandoz|Tadalafil Krka|Tadalafil Krka|Tadalafil Accord|Tadalafil Ratiopharm|Tadalafil Orion|Tadalafil Mylan|Tadalafil Stada|Cialis|Tadalafil Krka|Cialis|Cialis|Tadalafil Accord|Tadalafil Orion|Tadalafil Ratiopharm|Tadalafil Sandoz|Tadalafil Ratiopharm|Tadalafil Krka|Tadalafil Sandoz|Tadalafil Ratiopharm|Tadalafil Accord|Tadalafil Sandoz|Tadalafil Stada|Tadalafil Sandoz|Tadalafil Orion|Tadalafil Mylan|Tadalafil Ratiopharm|Tadalafil Mylan",NA,"tadalafiili|tadalafil|cialis|cialis|cialis|tadalafil krka|tadalafil ratiopharm|adcirca|tadalafil mylan|tadalafil krka|tadalafil ratiopharm|tadalafil mylan|tadalafil krka|tadalafil krka|tadalafil accord|tadalafil accord|tadalafil mylan|tadalafil sandoz|tadalafil mylan|tadalafil mylan|tadalafil orion|tadalafil accord|tadalafil sandoz|tadalafil orion|tadalafil accord|tadalafil sandoz|tadalafil ratiopharm|tadalafil stada|tadalafil stada|tadalafil mylan|tadalafil orion|tadalafil stada|tadalafil aop|cialis|tadalafil ratiopharm|tadalafil sandoz|tadalafil krka|tadalafil krka|tadalafil accord|tadalafil ratiopharm|tadalafil orion|tadalafil mylan|tadalafil stada|cialis|tadalafil krka|cialis|cialis|tadalafil accord|tadalafil orion|tadalafil ratiopharm|tadalafil sandoz|tadalafil ratiopharm|tadalafil krka|tadalafil sandoz|tadalafil ratiopharm|tadalafil accord|tadalafil sandoz|tadalafil stada|tadalafil sandoz|tadalafil orion|tadalafil mylan|tadalafil ratiopharm|tadalafil mylan"
"798",NA,"Tadalifil","Cialis",NA,"tadalifil|cialis"
"799","tafamidiisi","tafamidis","Vyndaqel|Vyndaqel|Vyndaqel",NA,"tafamidiisi|tafamidis|vyndaqel|vyndaqel|vyndaqel"
"800","tafluprosti","tafluprost","Taflotan|Taflotan|Taflotan|Taflotan",NA,"tafluprosti|tafluprost|taflotan|taflotan|taflotan|taflotan"
"801","tamoksifeeni","tamoxifen","Tamofen|Tadex",NA,"tamoksifeeni|tamoxifen|tamofen|tadex"
"802","ampisilliini","ampicillin","A-Pen|A-Pen","penicillin","ampisilliini|ampicillin|a-pen|a-pen"
"803","bentsyylipenisilliini","Benzylpenicillin","Geepenil|Benzylpenicillin Panpharma","penicillin","bentsyylipenisilliini|benzylpenicillin|geepenil|benzylpenicillin panpharma"
"804","tamsulosiini ja dutasteridi","tamsulosin and dutasteride","Dutasteride/Tamsulosinhydrochloride Sandoz|Dutasteride/Tamsulosinhydrochlorid Ratiopharm|Duodart|Duodart|Dutasteride/Tamsulosinhydrochlorid Stada|Dutasteride/Tamsulosinhydrochlorid Accord|Dutasteride/Tamsulosinhydrochloride Mylan|Dutasterid/Tamsulosin Krka|Dutasteride/Tamsulosinhydrochlorid Medical Valley|Dutasteride/Tamsulosinhydrochlorid Ratiopharm|Dutasteride/Tamsulosinhydrochlorid Stada|Dutasteride/Tamsulosinhydrochlorid Accord|Dutasteride/Tamsulosinhydrochlorid Medical Valley|Dutasteride/Tamsulosinhydrochloride Mylan|Dutasterid/Tamsulosin Krka|Dutasteride/Tamsulosinhydrochlorid Glenmark|Dutasteride/Tamsulosin Orion|Dutasteride/Tamsulosin Orion|Dutasteride/Tamsulosinhydrochlorid Glenmark|Dutasteride/Tamsulosinhydrochloride Sandoz",NA,"tamsulosiini ja dutasteridi|tamsulosin and dutasteride|dutasteride/tamsulosinhydrochloride sandoz|dutasteride/tamsulosinhydrochlorid ratiopharm|duodart|duodart|dutasteride/tamsulosinhydrochlorid stada|dutasteride/tamsulosinhydrochlorid accord|dutasteride/tamsulosinhydrochloride mylan|dutasterid/tamsulosin krka|dutasteride/tamsulosinhydrochlorid medical valley|dutasteride/tamsulosinhydrochlorid ratiopharm|dutasteride/tamsulosinhydrochlorid stada|dutasteride/tamsulosinhydrochlorid accord|dutasteride/tamsulosinhydrochlorid medical valley|dutasteride/tamsulosinhydrochloride mylan|dutasterid/tamsulosin krka|dutasteride/tamsulosinhydrochlorid glenmark|dutasteride/tamsulosin orion|dutasteride/tamsulosin orion|dutasteride/tamsulosinhydrochlorid glenmark|dutasteride/tamsulosinhydrochloride sandoz"
"805","teknetium(99mTc)tetrofosmiini","technetium (99mTc) tetrofosmin","Tetrofosmin Rotop|Tetrofosmin Rotop",NA,"teknetium(99mtc)tetrofosmiini|technetium (99mtc) tetrofosmin|tetrofosmin rotop|tetrofosmin rotop"
"806","teduglutidi","teduglutidi","Revestive|Revestive",NA,"teduglutidi|teduglutidi|revestive|revestive"
"807","teikoplaniini","teicoplanin","Targocid|Targocid",NA,"teikoplaniini|teicoplanin|targocid|targocid"
"808",NA,"Penicillin","Pen VK","penicillin","penicillin|pen vk"
"809","piperasilliini ja beetalaktamaasin estäjä","piperacillin and a beta-lactamase inhibitor","Piperacillin/Tazobactam Fresenius Kabi|Piperacillin/Tazobactam Reig Jofre|Piperacillin/Tazobactam Stragen|Piperacillin/Tazobactam Fresenius Kabi|Piperacillin/Tazobactam Stragen|Piperacillin/Tazobactam Reig Jofre","penicillin","piperasilliini ja beetalaktamaasin estäjä|piperacillin and a beta-lactamase inhibitor|piperacillin/tazobactam fresenius kabi|piperacillin/tazobactam reig jofre|piperacillin/tazobactam stragen|piperacillin/tazobactam fresenius kabi|piperacillin/tazobactam stragen|piperacillin/tazobactam reig jofre"
"810",NA,"Dexlansoprazole","Dexilant","PPI","dexlansoprazole|dexilant"
"811","esomepratsoli","esomeprazole","Nexium|Nexium|Nexium|Acidal|Esomeprazol Orion|Esomeprazol Ratiopharm|Esomeprazol Ratiopharm|Esomeprazol Krka|Esomeprazol Krka|Esomeprazol Krka|Esomeprazol Krka|Esomeprazol Sandoz|Esomeprazol Ratiopharm|Acidal|Esomeprazol Sandoz|Esomeprazol Sandoz|Esomeprazol Orion|Esomeprazol Orion|Acidal|Esomeprazol Sandoz|Esomeprazol Actavis|Esomeprazol Sandoz|Esomeprazol Ratiopharm|Esomeprazol Actavis|Esomeprazol Orion|Nexium|Esomeprazol Orion|Nexium|Nexium|Nexium|Nexium|Nexium|Esomeprazol Krka|Esomeprazol Krka|Esomeprazol Krka|Esomeprazol Krka|Acidal|Esomeprazol Ratiopharm|Esomeprazol Ratiopharm|Esomeprazol Orion|Esomeprazol Ratiopharm|Esomeprazol Sandoz|Esomeprazol Sandoz|Esomeprazol Ratiopharm|Esomeprazol Actavis|Esomeprazol Ratiopharm|Esomeprazol Orion|Esomeprazol Orion|Esomeprazol Ratiopharm|Esomeprazol Actavis|Esomeprazol Sandoz|Esomeprazol Ratiopharm|Esomeprazol Orion|Acidal|Esomeprazol Sandoz|Nexium","PPI","esomepratsoli|esomeprazole|nexium|nexium|nexium|acidal|esomeprazol orion|esomeprazol ratiopharm|esomeprazol ratiopharm|esomeprazol krka|esomeprazol krka|esomeprazol krka|esomeprazol krka|esomeprazol sandoz|esomeprazol ratiopharm|acidal|esomeprazol sandoz|esomeprazol sandoz|esomeprazol orion|esomeprazol orion|acidal|esomeprazol sandoz|esomeprazol actavis|esomeprazol sandoz|esomeprazol ratiopharm|esomeprazol actavis|esomeprazol orion|nexium|esomeprazol orion|nexium|nexium|nexium|nexium|nexium|esomeprazol krka|esomeprazol krka|esomeprazol krka|esomeprazol krka|acidal|esomeprazol ratiopharm|esomeprazol ratiopharm|esomeprazol orion|esomeprazol ratiopharm|esomeprazol sandoz|esomeprazol sandoz|esomeprazol ratiopharm|esomeprazol actavis|esomeprazol ratiopharm|esomeprazol orion|esomeprazol orion|esomeprazol ratiopharm|esomeprazol actavis|esomeprazol sandoz|esomeprazol ratiopharm|esomeprazol orion|acidal|esomeprazol sandoz|nexium"
"812","temotsolomidi","temozolomid","Temodal|Temozolomid ratiopharm|Temozolomide Accord|Temomedac|Temozolomide Accord|Temozolomid ratiopharm|Temozolomide Accord|Temozolomide Accord|Temodal|Temomedac|Temozolomide Accord|Temozolomide Accord|Temomedac|Temozolomid ratiopharm|Temozolomide Accord|Temozolomide Accord|Temozolomide Accord|Temozolomid ratiopharm|Temozolomide Accord|Temozolomide Accord|Temomedac|Temozolomide Accord|Temozolomide Accord|Temozolomide Accord|Temozolomid ratiopharm|Temozolomid ratiopharm|Temomedac|Temozolomide Accord|Temozolomide Accord|Temozolomide Accord|Temozolomide Accord|Temozolomide Teva|Temomedac|Temozolomide Accord|Temozolomid ratiopharm|Temozolomide Accord",NA,"temotsolomidi|temozolomid|temodal|temozolomid ratiopharm|temozolomide accord|temomedac|temozolomide accord|temozolomid ratiopharm|temozolomide accord|temozolomide accord|temodal|temomedac|temozolomide accord|temozolomide accord|temomedac|temozolomid ratiopharm|temozolomide accord|temozolomide accord|temozolomide accord|temozolomid ratiopharm|temozolomide accord|temozolomide accord|temomedac|temozolomide accord|temozolomide accord|temozolomide accord|temozolomid ratiopharm|temozolomid ratiopharm|temomedac|temozolomide accord|temozolomide accord|temozolomide accord|temozolomide accord|temozolomide teva|temomedac|temozolomide accord|temozolomid ratiopharm|temozolomide accord"
"813",NA,"Esomeprazol","Nexium","PPI","esomeprazol|nexium"
"814","lansopratsoli","lansoprazol","Lansoprazol Krka|Zolt|Lanvone|Lansoprazol Krka|Lansoprazol Krka|Zolt|Zolt|Gasterix|Zolt|Gasterix|Lansoprazol Krka|Gasterix|Lansoprazol Krka|Lansoprazol Krka|Lansoprazol Krka|Gasterix|Zolt|Zolt|Zolt|Zolt","PPI","lansopratsoli|lansoprazol|lansoprazol krka|zolt|lanvone|lansoprazol krka|lansoprazol krka|zolt|zolt|gasterix|zolt|gasterix|lansoprazol krka|gasterix|lansoprazol krka|lansoprazol krka|lansoprazol krka|gasterix|zolt|zolt|zolt|zolt"
"815",NA,"Lansoprazole","Prevacid|zolt","PPI","lansoprazole|prevacid|zolt"
"816",NA,"lanzoprazol","prevacid","PPI","lanzoprazol|prevacid"
"817","terbinafiini","terbinafin","Fungorin|Fungorin|Fungorin|Terbinafin Hexal|Terbinafin Ratiopharm|Terbinafin Ratiopharm|Terbinafin Hexal|Terbinafin Hexal|Terbinafin Ratiopharm|Terbinafin Hexal|Terbistada|Fungorin|Lamisil|Terbistada|Lamisil|Lamisil Dermgel|Lamisil Dermgel",NA,"terbinafiini|terbinafin|fungorin|fungorin|fungorin|terbinafin hexal|terbinafin ratiopharm|terbinafin ratiopharm|terbinafin hexal|terbinafin hexal|terbinafin ratiopharm|terbinafin hexal|terbistada|fungorin|lamisil|terbistada|lamisil|lamisil dermgel|lamisil dermgel"
"818","teriflunomidi","teriflunomid","Aubagio|Aubagio|Aubagio|Aubagio",NA,"teriflunomidi|teriflunomid|aubagio|aubagio|aubagio|aubagio"
"819","terlipressiini","terlipressin","Glypressin|Stemflova",NA,"terlipressiini|terlipressin|glypressin|stemflova"
"820","omepratsoli","omeprazol","Losec Mups|Losec Mups|Losec|Losec|Losec Mups|Omeprazol Bluefish|Losec Mups|Omeprazol Bluefish|Losec Mups|Omeprazol ratiopharm|Omestad|Omeprazol ratiopharm|Omeprazol ratiopharm|Omeprazol SanoSwiss|Omeprazol ratiopharm|Omestad|Omeprazol ratiopharm|Omestad|Omeprazol ratiopharm|Omeprazol SanoSwiss|Omeprazol SanoSwiss|Omestad|Omeprazol SanoSwiss|Omeprazol SanoSwiss|Omeprazol ratiopharm|Omeprazol ratiopharm|Omeprazol ratiopharm|Omestad","PPI","omepratsoli|omeprazol|losec mups|losec mups|losec|losec|losec mups|omeprazol bluefish|losec mups|omeprazol bluefish|losec mups|omeprazol ratiopharm|omestad|omeprazol ratiopharm|omeprazol ratiopharm|omeprazol sanoswiss|omeprazol ratiopharm|omestad|omeprazol ratiopharm|omestad|omeprazol ratiopharm|omeprazol sanoswiss|omeprazol sanoswiss|omestad|omeprazol sanoswiss|omeprazol sanoswiss|omeprazol ratiopharm|omeprazol ratiopharm|omeprazol ratiopharm|omestad"
